rssi_1_1,rssi_1_2,rssi_1_3,rssi_2_1,rssi_2_2,rssi_2_3,rssi_3_1,rssi_3_2,rssi_3_3,delay_1,delay_2,delay_3,delay_12,delay_13,delay_23,lat,lon
-89.6749759742642,-97.67796504899677,-87.62937656679178,-96.95186584115982,-92.17608649280784,-89.13602828442787,-85.57188175030876,-88.4412100580897,-64.76147673680785,8,8,2,0,6,6,-8.05955,-34.95985
-89.68573546139706,-97.67216341096253,-88.71452831874218,-96.99874716852548,-92.17608649280784,-89.55019802191748,-85.57188175030876,-86.00479344951759,-64.84222779424685,8,8,2,0,6,6,-8.05955,-34.959648082191784
-89.68573546139706,-97.67111803469372,-88.71452831874218,-96.99874716852548,-92.17608649280784,-89.78805205894173,-85.57188175030876,-83.57049283187838,-64.84946617671547,8,8,2,0,6,6,-8.05955,-34.95944616438357
-89.68573546139706,-97.65636990522492,-88.71452831874218,-96.99874716852548,-92.17608649280784,-89.78805205894173,-85.57188175030876,-80.17619193562797,-64.84946617671547,8,8,2,0,6,6,-8.05955,-34.959244246575345
-89.81458259853838,-97.58848133258137,-89.0602935751491,-96.76148553617712,-92.16570016395175,-90.57929681530467,-85.57188175030876,-80.15118839794253,-73.64536893480806,8,7,2,1,6,5,-8.05955,-34.959042328767126
-89.81458259853838,-97.587963500571,-89.02491765672943,-96.6316273866863,-92.16570016395175,-90.57614952793024,-85.42641015753752,-79.94505341981758,-73.64536893480806,8,7,2,1,6,5,-8.05955,-34.958840410958906
-89.80235749886519,-97.58620005821234,-89.34189299355765,-96.70017548726076,-92.17109932076728,-90.60874931682464,-85.14073936563284,-79.84638743687898,-73.64536893480806,8,7,2,1,6,5,-8.05955,-34.958638493150694
-89.79713357368261,-97.58620005821234,-89.34189299355765,-96.70974041665286,-92.18662695519565,-90.60874931682464,-85.08347010959041,-79.90279319484831,-75.88246718401511,8,7,2,1,6,5,-8.05955,-34.95843657534247
-89.94136940364334,-98.03412114931349,-90.37651208040892,-96.71445051048714,-92.284429384983,-90.61488248573102,-85.28906485001706,-79.66040894846044,-75.95449183981049,8,7,2,1,6,5,-8.05955,-34.95823465753425
-90.08720203169322,-98.03173829517908,-90.38907319193888,-96.62591255700336,-92.2968990167963,-90.71124812912035,-87.0134963795193,-79.58614786589517,-76.13605994119591,8,7,2,1,6,5,-8.05955,-34.958032739726036
-90.7422962038205,-97.43458511628988,-91.70912127620888,-98.51972352156342,-91.85825031076057,-93.50573030037724,-87.35759323267357,-73.86777001018383,-80.88586339029355,8,7,2,1,6,5,-8.05955,-34.95783082191781
-90.86252833099005,-97.40721560583788,-92.29426283431224,-98.4430674303428,-91.19497015859474,-93.48754167845327,-87.35759323267357,-73.86777001018383,-80.88586339029355,8,7,2,1,6,5,-8.05955,-34.95762890410959
-90.89572601190115,-97.37525156006984,-92.29426283431224,-98.44601663028212,-91.19497015859474,-92.46829766583988,-87.32812010469581,-73.81003261828076,-80.87891502018816,8,7,2,1,6,5,-8.05955,-34.95742698630137
-91.13120117592258,-97.37525156006984,-92.29426283431224,-98.44601663028212,-91.0074282781232,-92.45611204815657,-87.24196698480425,-72.22797818504026,-80.83141323461454,8,7,2,1,6,5,-8.05955,-34.957225068493145
-92.17756800552677,-97.37622523163921,-92.76900714786328,-98.44601663028212,-91.0074282781232,-92.40396995957857,-86.89337149770245,-72.22797818504026,-80.03119336439282,8,7,2,1,6,5,-8.05955,-34.957023150684925
