rssi_1_1,rssi_1_2,rssi_1_3,rssi_2_1,rssi_2_2,rssi_2_3,rssi_3_1,rssi_3_2,rssi_3_3,delay_1,delay_2,delay_3,delay_12,delay_13,delay_23,lat,lon
-88.5656955536939,-92.63420271753787,-88.39554274668951,-89.8090534688373,-90.97206715270649,-88.9983314750309,-87.87971117671705,-91.663950470823,-92.23572644446527,8,8,2,0,6,6,-8.05955,-34.95985
-88.56569555369582,-92.63420271757315,-88.39554274669906,-89.80905346886804,-90.97206715271395,-88.99833147502821,-87.87971117671475,-91.66395047081457,-92.23572644439531,8,8,2,0,6,6,-8.05955,-34.959648082191784
-88.5656955537037,-92.63420271761008,-88.39554274671141,-89.80905346889996,-90.97206715272131,-88.9983314750203,-87.87971117671249,-91.66395047080576,-92.23572644433528,8,8,2,0,6,6,-8.05955,-34.95944616438357
-88.56569555371586,-92.63420271763472,-88.39554274672236,-89.80905346892106,-90.97206715272573,-88.99833147500918,-87.87971117671115,-91.66395047079948,-92.23572644430891,8,8,2,0,6,6,-8.05955,-34.959244246575345
-88.56569555389086,-92.63420271778601,-88.39554274677488,-89.80905346915657,-90.97206715280485,-88.99833147504471,-87.87971117675474,-91.6639504702908,-92.23572644343906,8,7,2,1,6,5,-8.05955,-34.959042328767126
-88.56569555400223,-92.6342027179712,-88.39554274690079,-89.80905346934807,-90.97206715286447,-88.99833147515614,-87.87971117673688,-91.66395046986528,-92.2357264428637,8,7,2,1,6,5,-8.05955,-34.958840410958906
-88.56569555413208,-92.63420271827471,-88.39554274710325,-89.80905346963266,-90.97206715295034,-88.99833147535833,-87.87971117671732,-91.66395046929172,-92.23572644220137,8,7,2,1,6,5,-8.05955,-34.958638493150694
-88.56569555427241,-92.63420271870753,-88.39554274730992,-89.80905347001703,-90.97206715306316,-88.99833147557823,-87.87971117676183,-91.66395046863536,-92.23572644154578,8,7,2,1,6,5,-8.05955,-34.95843657534247
-88.56569555440487,-92.63420271918615,-88.39554274739291,-89.80905347042837,-90.97206715318217,-88.99833147568161,-87.87971117693277,-91.66395046804209,-92.2357264410472,8,7,2,1,6,5,-8.05955,-34.95823465753425
-88.56569555448952,-92.63420271952948,-88.39554274727755,-89.80905347070994,-90.9720671532631,-88.99833147558631,-87.87971117719967,-91.66395046771706,-92.23572644088728,8,7,2,1,6,5,-8.05955,-34.958032739726036
-88.56569555459014,-92.63420271983705,-88.39554274767093,-89.80905347092343,-90.97206715332486,-88.99833147644266,-87.87971117712958,-91.66395046777308,-92.23572643937028,8,7,2,1,6,5,-8.05955,-34.95783082191781
