lat,lon,rssi_1_1,rssi_1_2,rssi_1_3,rssi_2_1,rssi_2_2,rssi_2_3,rssi_3_1,rssi_3_2,rssi_3_3
-8.05955,-34.95985,-85.49008695652172,-99.89597515527934,-84.8256894409938,-95.66353623188404,-98.44741304347836,-86.1112173913043,-83.46128985507244,-85.63050434782609,-64.68382608695654
-8.05955,-34.959648082191784,-85.49008695652172,-99.89597515527934,-84.8256894409938,-95.66353623188404,-98.44741304347836,-86.1112173913043,-83.46128985507244,-85.63050434782609,-64.68382608695654
-8.05955,-34.95944616438357,-85.23038509316771,-99.932906832298,-84.57536645962733,-95.66353623188404,-98.44741304347836,-86.05062111801239,-82.86399999999996,-85.57182608695649,-64.7193043478261
-8.05955,-34.959244246575345,-86.16250931677017,-99.99356521739107,-83.67454658385095,-95.52236231884056,-98.44741304347836,-84.56757763975149,-85.78299999999994,-84.47714782608695,-64.70869565217397
-8.05955,-34.959042328767126,-87.4287826086956,-99.80412422360232,-88.3553664596273,-95.39997101449279,-97.90373913043486,-85.98689440993786,-87.34857971014483,-84.25314782608693,-65.81791304347824
-8.05955,-34.958840410958906,-88.94718012422354,-99.58673291925457,-87.47505590062106,-95.4289710144928,-97.7904565217392,-86.28839751552786,-87.26078260869551,-84.1553217391304,-66.12330434782605
-8.05955,-34.958638493150694,-87.89217391304342,-99.50795031055898,-89.15070807453401,-96.05336231884071,-95.09158695652164,-87.95132919254645,-87.16814492753612,-82.70090434782611,-64.52173913043474
-8.05955,-34.95843657534247,-89.25190062111794,-99.43811180124226,-90.62900621117998,-96.32939130434798,-93.61284782608683,-89.97772670807448,-86.60250724637672,-81.41146086956526,-66.01
-8.05955,-34.95823465753425,-89.81375155279498,-99.4053291925466,-91.19404968944086,-96.34494202898561,-92.8474999999999,-90.74663354037264,-87.29959420289845,-79.2650434782609,-66.70695652173913
-8.05955,-34.958032739726036,-91.04182608695643,-99.31959006211189,-90.97570186335395,-96.42757971014504,-92.99082608695642,-91.4839627329193,-87.70128985507243,-83.96229565217392,-66.56408695652179
-8.05955,-34.95783082191781,-90.682152173913,-99.41714285714292,-90.67162732919243,-97.06627536231893,-94.45130434782605,-92.1651304347826,-84.18836645962737,-83.0557739130435,-66.48660869565221
-8.05955,-34.95762890410959,-90.74303881987571,-99.35295652173916,-91.28088198757752,-98.91936231884058,-95.16260869565211,-93.5466086956522,-82.17815734989647,-82.62015652173906,-70.1882608695653
-8.05955,-34.95742698630137,-91.04987577639751,-99.27606211180134,-92.15721739130417,-100.19515942028991,-93.16632608695642,-96.30679503105597,-86.62695072463768,-76.49290434782613,-74.10043478260877
-8.05955,-34.957225068493145,-90.73149068322985,-99.27963975155285,-92.38243478260853,-100.83301449275379,-92.51280434782598,-95.31391304347838,-85.6592753623188,-75.36786086956515,-79.60460869565222
-8.05955,-34.957023150684925,-91.25291925465834,-99.26463354037263,-93.30308074534146,-100.62718840579728,-91.83482608695645,-95.18485714285718,-86.66257971014491,-72.05081739130429,-86.4679130434783
-8.05955,-34.95682123287671,-91.31426086956516,-99.22891925465828,-93.98775155279493,-100.55357971014513,-91.50678260869557,-95.0546583850931,-87.02113043478259,-71.02932173913045,-90.44860869565227
-8.05955,-34.95661931506849,-91.30445962732905,-99.06520496894397,-92.41412422360243,-100.48359420289876,-91.40141304347821,-95.1751677018633,-86.56921739130428,-72.18839999999999,-88.63373913043489
-8.05955,-34.956417397260275,-91.63277018633535,-99.05240993788807,-91.85919254658377,-100.41879710144948,-91.3348478260869,-95.54204968944096,-86.06692753623186,-71.33382608695652,-89.32556521739137
-8.05955,-34.956215479452055,-91.94308074534156,-98.98294409937874,-92.70322670807433,-100.12391304347852,-90.56291304347818,-94.13636024844715,-86.49198550724631,-69.74816347826085,-87.54878260869575
-8.05955,-34.956013561643836,-92.06048447204964,-98.90660869565204,-92.86994099378862,-99.80740579710175,-90.63302173913041,-93.8244720496894,-86.54191718426493,-70.87122434782603,-86.8869565217392
-8.05955,-34.955811643835624,-93.34285714285714,-98.57462111801233,-93.2224006211179,-99.1036231884059,-90.81436956521732,-93.38259627329191,-87.25340476190473,-69.84412173913039,-88.92644565217392
-8.05955,-34.9556097260274,-93.82807453416157,-98.04054658385097,-92.828546583851,-98.63062318840575,-90.30432608695638,-92.65628571428572,-87.3419927536232,-69.43666086956523,-91.01705434782612
-8.05955,-34.95540780821918,-93.86700621118021,-97.97130434782618,-92.65335403726716,-98.70349275362312,-90.47802173913027,-92.13352795031054,-87.43052898550728,-69.51019130434784,-92.0343586956522
-8.05955,-34.95520589041096,-94.01586335403735,-98.11782608695664,-92.44537888198765,-98.53549275362307,-90.65582608695635,-92.10659627329191,-89.30828260869575,-69.55500869565222,-92.45153260869573
-8.05955,-34.95500397260274,-93.19257142857154,-97.32580124223608,-91.870347826087,-98.31279710144922,-90.64265217391291,-91.87611801242234,-88.8948768115942,-72.80960000000005,-93.98029347826086
-8.05955,-34.95480205479452,-92.43842236024854,-97.08955279503107,-91.59386335403737,-98.38034782608688,-91.58615217391296,-92.6921118012422,-89.99419565217391,-72.46739130434781,-94.24331521739121
-8.05955,-34.9546001369863,-92.08320341614912,-96.76379503105593,-91.57045962732924,-98.12469565217388,-90.67136956521733,-92.48842236024844,-89.5110579710145,-73.36540869565216,-94.70858695652173
-8.05955,-34.954398219178074,-91.09434316770195,-96.04322981366457,-90.57385093167703,-98.77473913043478,-88.88717391304341,-92.82154037267078,-93.31365217391314,-75.82241739130437,-95.26115217391308
-8.05955,-34.954196301369855,-91.45128260869569,-95.96130434782611,-90.49608695652178,-98.96415942028993,-89.01676086956515,-93.14249689440996,-94.2639710144928,-74.06493913043488,-95.81660869565212
-8.05955,-34.95399438356164,-90.96801242236033,-95.84356521739136,-90.53819875776394,-99.0021449275363,-89.10336956521732,-93.95202484472057,-93.75828985507253,-74.10831304347838,-95.794652173913
-8.05955,-34.95379246575342,-91.11290683229818,-95.76103105590072,-91.49125465838512,-98.99360869565224,-89.19406521739124,-92.9362360248448,-93.11444927536236,-74.34859130434795,-95.2812391304347
-8.05955,-34.953590547945204,-91.27591925465838,-95.47464596273302,-92.12954037267087,-98.94324292615606,-87.70286956521728,-91.6178260869566,-94.49928985507248,-75.82217391304361,-95.10158695652166
-8.05955,-34.953388630136985,-91.37493167701862,-94.97732919254669,-91.3830310559007,-99.26410144927546,-85.88473913043465,-91.07474534161496,-96.42215942028983,-76.47720000000014,-95.07869565217383
-8.05955,-34.953186712328765,-92.75187681159419,-92.73501411631845,-91.67590144927539,-96.32650724637672,-84.77434782608691,-87.76577639751555,-89.53480676328498,-80.59747509881423,-94.24421739130429
-8.05955,-34.952984794520546,-93.30974016563142,-92.53310107284018,-91.57521821946173,-96.47966666666657,-84.48265217391294,-87.05761490683231,-90.10683574879225,-80.49464031620552,-94.08593478260865
-8.05955,-34.95278287671233,-94.0868954451345,-91.49454206662894,-91.14272132505178,-96.41233333333315,-83.04513043478256,-83.52231055900621,-90.75541545893718,-80.16942292490118,-94.60936956521732
-8.05955,-34.95258095890411,-94.5224606625258,-91.09071597967241,-91.80388902691513,-96.1864492753622,-81.76597826086955,-84.52660869565221,-91.32874879227043,-80.65377075098813,-95.09754347826087
-8.05955,-34.95237904109589,-93.90035817805379,-90.91621005081865,-92.10630062111801,-96.19867701863348,-79.8353652173913,-84.15794099378888,-92.15255072463758,-82.93891238471673,-95.6532826086957
-8.05955,-34.952177123287676,-93.3525755693582,-90.57206662902308,-92.10596521739132,-95.8579958592132,-78.23045652173919,-84.57698447204972,-92.14278019323659,-84.86038985507248,-95.98795652173911
-8.05955,-34.95197520547946,-94.33717701863353,-90.17735742518342,-92.4691080745342,-95.67863354037262,-80.31524347826091,-84.75278571428572,-92.14926328502403,-83.99576851119896,-96.03834782608698
-8.05955,-34.95177328767124,-94.19872256728773,-90.07317786561254,-92.23425258799173,-95.60740165631472,-80.21372608695656,-84.06313975155274,-92.01688164251193,-86.04056930171281,-96.00756521739127
-8.05955,-34.95157136986302,-94.22735610766038,-89.42599548277802,-92.27952049689436,-95.3340755693582,-80.0196173913044,-83.77119047619043,-91.75015942028968,-85.89097404479583,-95.94323913043482
-8.05955,-34.9513694520548,-91.46531884057968,-90.80764765669106,-91.51383850931678,-94.99166873706004,-79.76277391304349,-82.51987991718427,-91.77252173913031,-89.49483992094859,-96.00965217391311
-8.05955,-34.95116753424658,-91.01347619047615,-91.10083229813658,-91.45639834368531,-95.21728778467912,-78.65966811594203,-81.55695445134572,-91.96511594202889,-90.66673965744397,-95.93371739130441
-8.05955,-34.95096561643836,-90.88242028985503,-91.09421118012413,-91.44029896480329,-95.23053416149071,-78.59595797101446,-81.2162836438923,-91.95760869565207,-90.42860922266136,-95.92841304347833
-8.05955,-34.95076369863014,-90.82692960662523,-91.03614906832289,-91.41798840579708,-95.36208488612837,-78.58630579710142,-81.51368322981361,-91.97659420289843,-90.40354835309617,-95.92067391304353
-8.05955,-34.95056178082192,-90.64982919254656,-90.9378870694522,-91.40901946169772,-95.38982401656314,-78.43214347826085,-81.32266149068317,-92.00665458937185,-90.5045791831357,-95.90641304347832
-8.05955,-34.9503598630137,-90.62346894409936,-90.94099265951431,-91.3986592132505,-95.39382401656314,-78.38753478260867,-81.17175465838504,-92.02146618357476,-90.47357048748353,-95.90641304347832
-8.05955,-34.950157945205476,-90.6214813664596,-90.94720383963853,-91.40695734989646,-95.40480952380952,-78.38753478260867,-81.29922049689436,-92.05108937198054,-90.49304874835309,-95.90641304347832
-8.05955,-34.94995602739726,-90.61822670807453,-90.9489926595143,-91.40695734989646,-95.40533126293994,-78.38753478260867,-81.32209006211174,-92.03477053140084,-90.49522266139657,-95.90641304347832
-8.05955,-34.949754109589044,-90.37130745341614,-90.91485601355159,-91.15701946169773,-95.32694202898547,-78.26720144927536,-81.07536956521733,-91.96697342995158,-90.73342700922265,-95.89010869565223
-8.05955,-34.949552191780825,-90.18074844720495,-90.87720158102756,-91.0240132505176,-95.22258592132502,-78.34213623188404,-80.98551863354031,-91.82328019323663,-90.80136561264818,-95.87380434782614
-8.05955,-34.949350273972605,-90.1635559006211,-90.85086617730087,-91.0240132505176,-95.18133954451343,-78.45834637681158,-80.81273602484465,-91.77562801932358,-90.80160039525688,-95.86076086956527
-8.05955,-34.949148356164386,-90.25818944099377,-90.76735064935056,-91.01042318840582,-95.22646997929603,-78.125984057971,-80.94954347826081,-91.84541062801922,-91.15869604743077,-95.85750000000006
-8.05955,-34.948946438356174,-90.05956625258797,-90.80831733483899,-90.9080149068323,-95.10954244306414,-78.46320869565216,-81.29190993788815,-91.62441062801919,-91.17987470355727,-95.85750000000006
