rssi_1_1,rssi_1_2,rssi_1_3,rssi_2_1,rssi_2_2,rssi_2_3,rssi_3_1,rssi_3_2,rssi_3_3
-87.1857142857143,-82.67,-88.13285714285709,-88.06,-71.2075,-64.23,-81.9,-83.34,-97255.0
-85.33,-92.74857142857141,-87.2,-85.7,-86315.0,-94.74142857142859,-87.7583333333333,-93826.0,-95605.0
-90.57285714285707,-103.39,-101.37,-99.4483333333333,-97775.0,-103.78,-88.5333333333333,-96.5766666666667,-100835.0
-96.7028571428571,-85.19857142857141,-90.84,-83.58,-96.4925,-95.59857142857142,-93.29333333333332,-96518.0,-96.3575
-91.8642857142857,-88.76,-92.51428571428568,-88.01,-96.0925,-95.3357142857143,-94.9433333333333,-98.45,-96.7925
-95.70285714285721,-93.4242857142857,-92.11714285714292,-90.01,-87.1025,-86.14,-93.83166666666668,-77434.0,-96.7
-85.99,-86.71142857142858,-85.71428571428571,-64.79,-70.9175,-76.73,-90685.0,-86816.0,-97255.0
-92.41,-98.56857142857142,-93.0842857142857,-99.36,-89.4,-91.95142857142858,-73.0316666666667,-70766.0,-82.65
-90.96,-75.2,-90.83,-93.02,-94.7625,-89.7132142857143,-90.0,-99034.0,-94.4075
-100.36,-91.51857142857142,-102.25,-85.01,-99.9375,-99.48571428571432,-103.146666666667,-101744.0,-96.92
-86.22714285714291,-87.2142857142857,-90.34,-63.58,-77.9275,-83.2285714285714,-89.01,-90.82,-97.6
-87.76142857142858,-86.97285714285721,-91.59,-61.46,-82.15,-84.17714285714291,-88645.0,-93.01,-97255.0
-95.2757142857143,-97.79142857142858,-92.62,-98.32,-91.8025,-90.84142857142858,-83.9966666666667,-68.10600000000001,-90.3025
-88.1428571428571,-84.55428571428571,-89.0357142857143,-91.55,-67.6155,-66.2228571428572,-87.40333333333332,-93.04,-96.3625
-75.44285714285719,-88.64,-70.45,-96.4233333333333,-89.64,-95.20392857142859,-83.7533333333333,-106544.0,-81.27
-91.64,-98.2242857142857,-88.68714285714279,-99.6116666666667,-98.52,-93.7757142857143,-66.0016666666667,-89566.0,-93.53
