rssi_1_1,rssi_1_2,rssi_1_3,rssi_2_1,rssi_2_2,rssi_2_3,rssi_3_1,rssi_3_2,rssi_3_3
-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0
-105.225,-115.0,-105.21,-115.0,-105.835,-115.0,-87.97,-96.85,-108.12
-101.196666666667,-115.0,-96.04,-115.0,-96.79,-96.1,-94.42,-93.7375,-115.0
-97.99,-115.0,-100.0,-115.0,-102.805,-96.98,-96.98,-99.5725,-115.0
-106.07,-115.0,-106.67,-104.161666666667,-90.15,-99.4216666666667,-99.43285714285707,-97.1633333333333,-115.0
-98.74799999999999,-97.35,-99.59200000000001,-99.25,-91.935,-92.51428571428568,-100.03,-101.03,-115.0
-105.225,-115.0,-105.21,-115.0,-105.835,-115.0,-89.41,-88.73571428571432,-108.12
-115.0,-115.0,-115.0,-115.0,-96.33,-93.4833333333333,-87.33,-78.2614285714286,-115.0
-106.07,-115.0,-106.67,-104.161666666667,-96.2228571428571,-92.92,-96.1257142857143,-92.5983333333333,-115.0
-99.0133333333333,-115.0,-98.49,-115.0,-98.54333333333332,-93.73,-98.74,-98.66,-115.0
-106.07,-115.0,-106.67,-104.161666666667,-98.6457142857143,-95.5,-99.9657142857143,-95.2083333333333,-115.0
-103.705,-110.425,-107.381666666667,-110.33,-98.065,-105.56,-99.48,-101.46,-115.0
-98.74799999999999,-98.16,-99.59200000000001,-102.59,-91.935,-92.51428571428568,-100.03,-100.81,-115.0
-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-83.1866666666667,-115.0
-103.04,-115.0,-98.56,-115.0,-91.7266666666666,-95.6157142857143,-99.255,-93.26,-115.0
-106.07,-115.0,-106.67,-104.161666666667,-96.93857142857142,-93.9633333333333,-97.8942857142857,-97.55,-115.0
-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.82714285714279,-90.7,-115.0
-101.28,-115.0,-98.49,-115.0,-95.475,-93.73,-98.74,-98.66,-115.0
-98.74799999999999,-106.79,-98.61,-97.36,-89.395,-91.7071428571428,-100.03,-95.785,-115.0
-109.088333333333,-107.2,-107.01,-108.43,-97.2,-98.14857142857142,-99.84,-94.665,-115.0
