idx,rssi_1_1,rssi_1_2,rssi_1_3,rssi_2_1,rssi_2_2,rssi_2_3,rssi_3_1,rssi_3_2,rssi_3_3,lat,lon,indoor,dist_1,dist_2,dist_3,delay_1,delay_2,delay_3,delay_12,delay_13,delay_23
0,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
1,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
2,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
3,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
4,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
5,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
6,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
7,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
8,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-86.09,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
9,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
10,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
11,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
12,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
13,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
14,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
15,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
16,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
17,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
18,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
19,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
20,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
21,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
22,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
23,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
24,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
25,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
26,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
27,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
28,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
29,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
30,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-87.84,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
31,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
32,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-83.59,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
33,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
34,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
35,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
36,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
37,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
38,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
39,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
40,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
41,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
42,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
43,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
44,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
45,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
46,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
47,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
48,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
49,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
50,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
51,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
52,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
53,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
54,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
55,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-80.97,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
56,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
57,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
58,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
59,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
60,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
61,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
62,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
63,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
64,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
65,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
66,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
67,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
68,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
69,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
70,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
71,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-83.1866666666667,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
72,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-83.1866666666667,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
73,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-83.1866666666667,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
74,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-83.1866666666667,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
75,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-83.1866666666667,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
76,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-83.1866666666667,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
77,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-83.1866666666667,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
78,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-83.1866666666667,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
79,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-83.1866666666667,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
80,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-83.1866666666667,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
81,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-83.1866666666667,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
82,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-83.1866666666667,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
83,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-85.72,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
84,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-83.1866666666667,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
85,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-83.1866666666667,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
86,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-83.1866666666667,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
87,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-83.1866666666667,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
88,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-83.1866666666667,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
89,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-83.1866666666667,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
90,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-83.1866666666667,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
91,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-83.1866666666667,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
92,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-83.1866666666667,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
93,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-83.1866666666667,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
94,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-83.1866666666667,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
95,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-83.1866666666667,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
96,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-83.1866666666667,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
97,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-83.1866666666667,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
98,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-83.74428571428571,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
99,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-83.0616666666667,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
100,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-83.0616666666667,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
101,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-83.1866666666667,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
102,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-83.1866666666667,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
103,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-83.1866666666667,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
104,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-83.1866666666667,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
105,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-83.1866666666667,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
106,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-83.1866666666667,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
107,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-83.1866666666667,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
108,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-83.1866666666667,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
109,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-83.1866666666667,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
110,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-83.1866666666667,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
111,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-83.1866666666667,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
112,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-83.1866666666667,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
113,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-83.1866666666667,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
114,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-83.1866666666667,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
115,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-83.1866666666667,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
116,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-83.1866666666667,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
117,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-83.1866666666667,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
118,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.0214285714286,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
119,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.53,-115.0,-8.055605,-34.951728,True,1.3479463755123187,0.8337221412828737,0.6810590489109092,6,4,3,2,3,1
