idx,rssi_1_1,rssi_1_2,rssi_1_3,rssi_2_1,rssi_2_2,rssi_2_3,rssi_3_1,rssi_3_2,rssi_3_3,lat,lon,indoor,dist_1,dist_2,dist_3,ang_1,cos_1,sin_1,tg_1,ang_2,cos_2,sin_2,tg_2,ang_3,cos_3,sin_3,tg_3,delay_1,delay_2,delay_3,delay_12,delay_13,delay_23
0,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123189,0.8337221412828737,0.6810590489109092,178.72547654309327,-0.9997525984040653,0.02224279623428419,-0.022248300499334565,-111.11014705750569,-0.360162028136861,-0.9328897649177758,2.5901946680600076,92.65306825565305,-0.04628823085398139,0.9989281253846087,-21.580607142575374,6,4,3,2,3,1
1,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123189,0.8337221412828737,0.6810590489109092,178.72547654309327,-0.9997525984040653,0.02224279623428419,-0.022248300499334565,-111.11014705750569,-0.360162028136861,-0.9328897649177758,2.5901946680600076,92.65306825565305,-0.04628823085398139,0.9989281253846087,-21.580607142575374,6,4,3,2,3,1
2,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123189,0.8337221412828737,0.6810590489109092,178.72547654309327,-0.9997525984040653,0.02224279623428419,-0.022248300499334565,-111.11014705750569,-0.360162028136861,-0.9328897649177758,2.5901946680600076,92.65306825565305,-0.04628823085398139,0.9989281253846087,-21.580607142575374,6,4,3,2,3,1
3,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123189,0.8337221412828737,0.6810590489109092,178.72547654309327,-0.9997525984040653,0.02224279623428419,-0.022248300499334565,-111.11014705750569,-0.360162028136861,-0.9328897649177758,2.5901946680600076,92.65306825565305,-0.04628823085398139,0.9989281253846087,-21.580607142575374,6,4,3,2,3,1
4,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123189,0.8337221412828737,0.6810590489109092,178.72547654309327,-0.9997525984040653,0.02224279623428419,-0.022248300499334565,-111.11014705750569,-0.360162028136861,-0.9328897649177758,2.5901946680600076,92.65306825565305,-0.04628823085398139,0.9989281253846087,-21.580607142575374,6,4,3,2,3,1
5,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123189,0.8337221412828737,0.6810590489109092,178.72547654309327,-0.9997525984040653,0.02224279623428419,-0.022248300499334565,-111.11014705750569,-0.360162028136861,-0.9328897649177758,2.5901946680600076,92.65306825565305,-0.04628823085398139,0.9989281253846087,-21.580607142575374,6,4,3,2,3,1
6,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123189,0.8337221412828737,0.6810590489109092,178.72547654309327,-0.9997525984040653,0.02224279623428419,-0.022248300499334565,-111.11014705750569,-0.360162028136861,-0.9328897649177758,2.5901946680600076,92.65306825565305,-0.04628823085398139,0.9989281253846087,-21.580607142575374,6,4,3,2,3,1
7,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123189,0.8337221412828737,0.6810590489109092,178.72547654309327,-0.9997525984040653,0.02224279623428419,-0.022248300499334565,-111.11014705750569,-0.360162028136861,-0.9328897649177758,2.5901946680600076,92.65306825565305,-0.04628823085398139,0.9989281253846087,-21.580607142575374,6,4,3,2,3,1
8,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-86.09,-115.0,-8.055605,-34.951728,True,1.3479463755123189,0.8337221412828737,0.6810590489109092,178.72547654309327,-0.9997525984040653,0.02224279623428419,-0.022248300499334565,-111.11014705750569,-0.360162028136861,-0.9328897649177758,2.5901946680600076,92.65306825565305,-0.04628823085398139,0.9989281253846087,-21.580607142575374,6,4,3,2,3,1
9,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-90.93,-84.1133333333333,-115.0,-8.055605,-34.951728,True,1.3479463755123189,0.8337221412828737,0.6810590489109092,178.72547654309327,-0.9997525984040653,0.02224279623428419,-0.022248300499334565,-111.11014705750569,-0.360162028136861,-0.9328897649177758,2.5901946680600076,92.65306825565305,-0.04628823085398139,0.9989281253846087,-21.580607142575374,6,4,3,2,3,1
