lat,lon,rssi_1_1,rssi_1_2,rssi_1_3,rssi_2_1,rssi_2_2,rssi_2_3,rssi_3_1,rssi_3_2,rssi_3_3
-8.050560180881885,-34.95058404059935,-94.58857142857141,-97.10285714285708,-94.05857142857141,-96.1283333333333,-92275,-90.41142857142859,-77.9516666666667,-73.19,-94.7525
-8.05308860594263,-34.95130244320128,-103.01,-84.49857142857141,-97.59142857142858,-95.01,-98.8375,-97.33285714285721,-100.65,-101.62,-94.4075
-8.054150481434888,-34.95042014139266,-95.20285714285721,-86.28,-93.03,-53.33,-84965,-81.08,-90.8266666666667,-94342,-98.9125
-8.056324952074798,-34.951459748809135,-92.4226190476191,-90.24214285714292,-93.0646428571429,-80.3592857142857,-87.1375,-86.91095238095241,-91.3383333333333,-93248,-97255
-8.054176169547283,-34.949914232957916,-86.22714285714291,-86.23142857142858,-87.8857142857143,-72.83,-80.56625,-85.7371428571429,-90.1916666666667,-90704,-97.6
-8.05533199023011,-34.95387631931279,-83.45047619047621,-84.60214285714291,-85.27178571428571,-66.54,-67.5475,-74.78,-91.6483333333333,-88616,-97255
-8.053810715701447,-34.95717226542364,-97.2157142857143,-87.4,-94.34142857142858,-65.77,-85.0275,-84.46,-90.4616666666667,-96416,-96.3575
-8.05396740645345,-34.95315142533568,-87.1161904761905,-96.68857142857142,-81.28,-100.59333333333299,-98.6375,-96.22142857142859,-98.4983333333333,-99518,-97765
-8.054206829864702,-34.95453518884074,-76.39,-89.43428571428568,-82.26,-85.33,-96.72,-87.4442857142857,-89.9866666666667,-98012,-98.6525
-8.052757872998026,-34.952175721091685,-80.2464285714286,-98.28,-80.94142857142859,-97.03,-97.7525,-90.39,-80885,-99.9346666666667,-97.6
-8.053650879476104,-34.9544246711833,-82.51,-95.78642857142859,-89.08,-94.77833333333332,-98.5125,-96.90142857142858,-86.5791666666667,-98048,-98.1
-8.052311695315897,-34.95574742138428,-90.45,-87.53142857142859,-77.75,-75.13,-90.8225,-87.9076190476191,-91375,-98012,-96.7925
-8.055071835590324,-34.95327664073932,-95.75714285714292,-95.67714285714293,-96.70142857142858,-83.52,-97.0275,-94.37857142857142,-97.8733333333333,-98578,-98.9125
-8.053257427078751,-34.953375688203,-88.5557142857143,-80.3157142857143,-87.0242857142857,-92.5083333333333,-92.04,-90.20142857142858,-90.0516666666667,-99034,-94.4075
-8.053758521663072,-34.95295252263812,-102.25,-88.79476190476191,-97515,-82.75,-98645,-97.48303571428568,-96.5633333333333,-101648,-96.56
-8.052378802569793,-34.95461213527816,-91.0242857142857,-96.2,-96.28,-96.0116666666667,-91935,-92.6557142857143,-77.0233333333333,-71.05199999999998,-96.16
-8.051830121386576,-34.95126862886397,-77.95,-90.59714285714293,-72.26,-96.4233333333333,-93.03,-96.6567857142857,-84.17,-106544,-87.96
-8.054547463496798,-34.95038582612072,-86.44857142857141,-89.7328571428571,-92.0857142857143,-80.83,-82.0125,-80.41857142857141,-91.2483333333333,-94.64,-97255
-8.055262356342908,-34.95358347132265,-91.7171428571429,-93.55,-97.03,-95.02,-84895,-90.33,-90.2183333333333,-78122,-95.78
-8.054349721072555,-34.95270180191506,-91.35,-90.4171428571429,-91.2857142857143,-80.77,-93.66,-86.4728571428571,-85.75,-96142,-97.6
-8.053526036878198,-34.95227939938688,-87.58,-92.57714285714279,-90.20857142857142,-84.44,-94.5,-92.7,-92.7283333333333,-94.73,-95.9225
-8.05235879693631,-34.951164855590456,-81.2371428571429,-88.4828571428571,-76.47571428571429,-85.14,-92.46,-91.9842857142857,-79.87,-104362,-79.21
-8.051092049019747,-34.952174995338844,-94.77,-103.33,-92.65714285714279,-98.03,-94.0525,-93.67,-83185,-80634,-96.28
-8.055711034500833,-34.95479408193449,-90.22142857142859,-99.2842857142857,-90.09,-95.9383333333333,-92.8475,-90.74285714285708,-82.45,-89988,-56.16
-8.054453229747551,-34.953230436430964,-89.31142857142858,-95.1142857142857,-94.02,-99.26,-93.9625,-92.15,-89.1316666666667,-102688,-84.83
-8.05496725060385,-34.94986326956999,-88.28,-95.5728571428572,-92.2842857142857,-94.4,-91135,-82.2,-76.5,-78.13,-95.6025
-8.053785059876422,-34.95228390447334,-86.8842857142857,-97.00714285714292,-91.70714285714293,-98.28,-96.1425,-94.0128571428571,-65.2516666666667,-86.57600000000002,-96.6
-8.051463924120439,-34.95506544583163,-95.49142857142859,-99.0457142857143,-95.07,-99.0533333333333,-91565,-93.09714285714293,-86.9683333333333,-57.94,-85.53
-8.053661633866342,-34.953187590719715,-90.53875,-98.2457142857143,-92.80285714285708,-98.85,-98.2575,-93.62,-84.5666666666667,-98116,-68.16
-8.053521038549164,-34.9535766411338,-88.59142857142858,-92.57714285714279,-90.04857142857142,-84.26,-94.8675,-88.71,-92.7283333333333,-95286,-95.9225
-8.05157148015671,-34.95274325044114,-95.14,-85.2414285714286,-83.69,-85.51,-91.5525,-88.01428571428568,-93.45,-97496,-96.7925
-8.0546922031929,-34.951760288744644,-93.93,-88.37558441558441,-92.9100833333333,-91.18,-78.3625,-71.3453571428571,-90.46194444444441,-90.5772727272727,-95.8575
-8.055912261050965,-34.94867469870042,-90.11142857142859,-91.88714285714279,-90.9957142857143,-95.85,-83255,-86.16857142857141,-92.39,-83.46799999999998,-99.43
-8.051294540530984,-34.953534818018966,-87.1766666666666,-98.56857142857142,-90.43035714285708,-96.1066666666667,-93.49,-92.61,-87905,-75.39,-94.2117857142857
-8.054347085528944,-34.95288830227543,-89.2633333333333,-99.41857142857141,-89.2142857142857,-103.37583333333299,-101.66,-95.78,-78.3476666666667,-81.3505714285714,-91.1608333333333
-8.054684806206533,-34.94982734912034,-85.99,-86.71142857142858,-84.4657142857143,-65.92,-70.9175,-91.99,-90685,-86816,-97255
-8.05370554899665,-34.953748057281565,-85.46285714285709,-96.14,-90.88285714285708,-99.79,-89335,-92.82857142857141,-84.8166666666667,-81508,-97.48
-8.051331236239912,-34.95448164847964,-94.65142857142858,-97.3557142857143,-94.98857142857142,-95.25,-95.15,-90.84857142857142,-75.3566666666667,-69134,-94.99
-8.05683197820941,-34.951927034788746,-93.5428571428572,-86.97,-102.39,-91.59,-87705,-93.0771428571429,-96825,-99818,-97.6
-8.054606929973708,-34.948742041679644,-87.37857142857142,-96.3742857142857,-91.0328571428571,-97.1133333333333,-97655,-96.61,-92.2683333333333,-92.13,-96145
-8.056452038419726,-34.95254758196628,-88.48142857142858,-85.17,-89.53625,-59.98,-79.39,-78.67,-89.28,-90.96,-97.6
-8.053200736947215,-34.948976235243876,-83.95,-95.70142857142858,-86.28476190476191,-99.26,-101.18,-92.7617857142857,-90.68,-99194,-90.83
