rssi_1_1,rssi_1_2,rssi_1_3,rssi_2_1,rssi_2_2,rssi_2_3,rssi_3_1,rssi_3_2,rssi_3_3,delay_1,delay_2,delay_3,delay_12,delay_13,delay_23,lat,lon
-89.73970859251818,-98.03833141581086,-86.6808495765633,-96.68556065087705,-93.06225934343337,-88.33874915739972,-85.70097606005594,-88.37177165316461,-65.5387593634719,8,8,2,0,6,6,-8.05955,-34.95985
-89.73970859251818,-98.1585542349307,-86.67691591821932,-96.68556065087705,-93.06225934343337,-88.38721354108637,-85.74224451433281,-86.57572050411007,-65.5387593634719,8,8,2,0,6,6,-8.05955,-34.959648082191784
-89.73970859251818,-98.09251382326642,-86.78891786558552,-96.78896989701964,-93.06225934343337,-88.88179996204158,-85.74224451433281,-78.65215908387259,-65.46548731492955,8,8,2,0,6,6,-8.05955,-34.95944616438357
-89.73970859251818,-98.0830828803771,-86.78891786558552,-96.92933261254768,-93.06225934343337,-89.13663796979111,-85.74224451433281,-76.82036779171607,-65.47473138795317,8,8,2,0,6,6,-8.05955,-34.959244246575345
-89.77061417998921,-98.06464962654378,-86.79246559399456,-96.96989012364796,-92.8988386878785,-89.21674899347546,-85.73206106112308,-76.02704316111462,-75.10881256951902,8,7,2,1,6,5,-8.05955,-34.959042328767126
-89.4991661475785,-98.06464962654378,-86.75140948549331,-96.97874282728243,-92.91222398394144,-89.16241119744673,-85.71376605505799,-75.87171985801638,-75.07375708806757,8,7,2,1,6,5,-8.05955,-34.958840410958906
-89.5345142066983,-98.05508008316622,-86.97887715520794,-96.99383444639065,-92.91222398394144,-89.13272194695213,-85.70876211390748,-75.72967417065185,-75.07375708806757,8,7,2,1,6,5,-8.05955,-34.958638493150694
-89.5345142066983,-98.05508008316622,-86.96272266169926,-96.9882728978496,-92.85011698405441,-89.23195542822145,-85.69464383436056,-75.72967417065185,-76.59132448595086,8,7,2,1,6,5,-8.05955,-34.95843657534247
-89.5345142066983,-98.30360758512556,-88.17032763938447,-96.97907967610277,-93.11602191839157,-89.23195542822145,-85.71196559614835,-75.42087889733911,-76.59132448595086,8,7,2,1,6,5,-8.05955,-34.95823465753425
-89.59496952551069,-98.20967658053544,-87.98426711991974,-96.9547121912724,-93.12733466769244,-89.26446910654177,-86.99631854091447,-75.41478679444809,-76.58812043718416,8,7,2,1,6,5,-8.05955,-34.958032739726036
-90.9608169153682,-97.73097508324085,-90.93713200394475,-98.82308773857255,-92.51389540649134,-92.66195978014945,-87.82651956730011,-74.10235657004509,-78.63766239090684,8,7,2,1,6,5,-8.05955,-34.95783082191781
-91.38594668846943,-97.60917552437292,-91.83538834045905,-99.04152400957994,-92.00166954251137,-92.12012333538055,-87.95779219565212,-74.10235657004509,-78.90793176958213,8,7,2,1,6,5,-8.05955,-34.95762890410959
-91.4123650697925,-97.60917552437292,-91.83538834045905,-98.9253600757551,-91.99352089515415,-91.78238269818588,-87.86353424566303,-74.10235657004509,-78.88879064116708,8,7,2,1,6,5,-8.05955,-34.95742698630137
-92.55689221906289,-97.60810291808716,-91.83538834045905,-99.02329932218609,-91.63720701543924,-91.81058089346442,-87.79460365504288,-72.96799593893354,-78.88879064116708,8,7,2,1,6,5,-8.05955,-34.957225068493145
-93.41736635792759,-97.58061078022759,-92.60956808336417,-99.02329932218609,-91.29984717918259,-91.85269466598446,-88.97360508281456,-72.96799593893354,-78.58103135457226,8,7,2,1,6,5,-8.05955,-34.957023150684925
-93.47188596601444,-97.58960528459872,-93.50033056583472,-99.31322473409791,-91.22953640020599,-91.92953269170279,-89.03876639269241,-72.94261828397325,-78.58103135457226,8,7,2,1,6,5,-8.05955,-34.95682123287671
-93.2494677362311,-97.59368666344929,-93.40192451228964,-99.25502385856448,-88.27074331093172,-91.92953269170279,-88.96245238885744,-73.03411343444542,-78.59312004493167,8,6,2,2,6,4,-8.05955,-34.95661931506849
-93.2494677362311,-97.59756895228763,-93.40192451228964,-99.3431825714549,-88.27074331093172,-91.92953269170279,-89.04022753970945,-73.0001631111915,-78.59312004493167,8,6,2,2,6,4,-8.05955,-34.956417397260275
-92.94750286802315,-97.60311760633856,-93.38482334945928,-99.11389470704478,-88.27074331093172,-91.26356760078363,-89.05575417273445,-73.0001631111915,-78.59492770937324,8,6,2,2,6,4,-8.05955,-34.956215479452055
-92.86927103676253,-97.60311760633856,-93.32832258632216,-99.44174118416744,-88.28914912253973,-91.27752963525043,-89.05427287019216,-73.00887833248575,-82.14497620624128,8,6,2,2,6,4,-8.05955,-34.956013561643836
-92.85483752109604,-97.64963940677595,-93.13030039380024,-99.61315476867041,-88.20967414446369,-91.27460101428943,-89.24300582572765,-73.1157930209803,-82.36024309788918,8,6,2,2,6,4,-8.05955,-34.955811643835624
-92.95558029808815,-97.2801394651377,-92.97599249691393,-99.6166853502306,-88.19646018398565,-91.27460101428943,-89.5385058012245,-73.21638083037928,-88.32514356485801,8,6,2,2,6,4,-8.05955,-34.9556097260274
