CMDLINE c:\users\douglas.silva\anaconda3\python.exe .\testMemory.py
MEM 0.078125 1601924060.3528
MEM 15.976562 1601924060.4533
MEM 25.257812 1601924060.5543
MEM 30.605469 1601924060.6550
MEM 37.441406 1601924060.7554
MEM 47.898438 1601924060.8563
MEM 56.187500 1601924060.9569
MEM 56.406250 1601924061.0579
MEM 56.613281 1601924061.1581
MEM 65.996094 1601924061.2589
MEM 77.226562 1601924061.3596
MEM 81.113281 1601924061.4603
MEM 89.722656 1601924061.5605
MEM 102.070312 1601924061.6608
MEM 108.949219 1601924061.7618
MEM 114.449219 1601924061.8625
MEM 119.480469 1601924061.9635
MEM 124.417969 1601924062.0635
MEM 124.855469 1601924062.1637
MEM 127.972656 1601924062.2638
MEM 138.023438 1601924062.3640
MEM 140.449219 1601924062.4647
MEM 140.707031 1601924062.5654
MEM 141.191406 1601924062.6662
MEM 141.511719 1601924062.7669
MEM 142.855469 1601924062.8676
MEM 139.796875 1601924062.9684
MEM 142.753906 1601924063.0691
MEM 142.929688 1601924063.1698
MEM 143.160156 1601924063.2706
MEM 143.468750 1601924063.3713
MEM 145.367188 1601924063.4720
MEM 145.238281 1601924063.5727
MEM 145.281250 1601924063.6735
MEM 145.312500 1601924063.7742
MEM 145.421875 1601924063.8749
MEM 145.488281 1601924063.9757
MEM 143.777344 1601924064.0764
MEM 146.648438 1601924064.1771
MEM 146.699219 1601924064.2779
MEM 146.734375 1601924064.3786
MEM 146.789062 1601924064.4793
MEM 146.820312 1601924064.5801
MEM 147.488281 1601924064.6808
MEM 149.058594 1601924064.7815
MEM 149.066406 1601924064.8822
MEM 149.121094 1601924064.9830
MEM 149.273438 1601924065.0837
MEM 149.414062 1601924065.1844
MEM 149.218750 1601924065.2852
MEM 149.273438 1601924065.3859
FUNC __main__.LightGBM_TCC 135.2539 1601924062.3880 137.4922 1601924063.0013 0
FUNC __main__.LightGBM_TCC 137.4922 1601924063.0023 140.0078 1601924063.5488 0
FUNC __main__.LightGBM_TCC 140.0078 1601924063.5488 141.2617 1601924064.1342 0
FUNC __main__.LightGBM_TCC 141.2617 1601924064.1342 142.8047 1601924064.7227 0
FUNC __main__.LightGBM_TCC 142.8047 1601924064.7227 144.3242 1601924065.3241 0
FUNC __main__.LightGBM_TCC 144.3242 1601924065.3241 145.4648 1601924065.9314 0
FUNC __main__.LightGBM_TCC 145.4648 1601924065.9314 146.8008 1601924066.5927 0
FUNC __main__.LightGBM_TCC 146.8008 1601924066.5927 148.2539 1601924067.1921 0
FUNC __main__.LightGBM_TCC 148.2539 1601924067.1921 140.8828 1601924067.6718 0
MEM 149.277344 1601924065.4866
MEM 149.367188 1601924065.5874
MEM 149.402344 1601924065.6881
MEM 149.582031 1601924065.7888
MEM 148.425781 1601924065.8895
MEM 151.437500 1601924065.9903
MEM 151.441406 1601924066.0910
MEM 151.535156 1601924066.1918
MEM 151.644531 1601924066.2925
MEM 151.734375 1601924066.3932
MEM 152.894531 1601924066.4939
MEM 147.695312 1601924066.5947
MEM 153.136719 1601924066.6954
MEM 153.207031 1601924066.7961
MEM 153.300781 1601924066.8969
MEM 153.332031 1601924066.9976
MEM 154.625000 1601924067.0983
MEM 139.761719 1601924067.1990
MEM 142.500000 1601924067.2998
MEM 142.660156 1601924067.4005
MEM 142.910156 1601924067.5012
MEM 145.070312 1601924067.6020
MEM 143.171875 1601924067.7027
MEM 142.488281 1601924067.8035
MEM 151.914062 1601924067.9042
MEM 135.414062 1601924068.0049
