CMDLINE c:\users\douglas.silva\anaconda3\python.exe .\testMemory-LightGBM.py
MEM 0.078125 1604495940.3376
MEM 7.363281 1604495940.4383
MEM 10.222656 1604495940.5390
MEM 13.640625 1604495940.6398
MEM 17.261719 1604495940.7406
MEM 20.812500 1604495940.8415
MEM 24.253906 1604495940.9425
MEM 27.011719 1604495941.0426
MEM 28.847656 1604495941.1433
MEM 31.863281 1604495941.2436
MEM 36.343750 1604495941.3438
MEM 37.582031 1604495941.4445
MEM 40.015625 1604495941.5452
MEM 43.179688 1604495941.6459
MEM 48.273438 1604495941.7468
MEM 50.585938 1604495941.8474
MEM 53.011719 1604495941.9481
MEM 55.914062 1604495942.0485
MEM 56.484375 1604495942.1486
MEM 56.492188 1604495942.2490
MEM 56.492188 1604495942.3502
MEM 56.492188 1604495942.4509
MEM 56.492188 1604495942.5517
MEM 56.492188 1604495942.6524
MEM 56.492188 1604495942.7531
MEM 59.890625 1604495942.8539
MEM 62.253906 1604495942.9546
MEM 67.566406 1604495943.0553
MEM 70.109375 1604495943.1560
MEM 73.382812 1604495943.2568
MEM 76.910156 1604495943.3575
MEM 78.175781 1604495943.4579
MEM 79.644531 1604495943.5580
MEM 81.613281 1604495943.6587
MEM 84.640625 1604495943.7589
MEM 87.019531 1604495943.8592
MEM 88.835938 1604495943.9599
MEM 93.980469 1604495944.0606
MEM 101.074219 1604495944.1610
MEM 103.800781 1604495944.2611
MEM 105.378906 1604495944.3618
MEM 107.253906 1604495944.4625
MEM 109.136719 1604495944.5630
MEM 109.835938 1604495944.6640
MEM 113.093750 1604495944.7647
MEM 115.023438 1604495944.8655
MEM 116.390625 1604495944.9663
MEM 117.308594 1604495945.0669
MEM 118.417969 1604495945.1673
MEM 120.363281 1604495945.2684
MEM 124.167969 1604495945.3691
MEM 124.371094 1604495945.4699
MEM 124.386719 1604495945.5706
MEM 124.390625 1604495945.6714
MEM 124.769531 1604495945.7720
MEM 124.777344 1604495945.8728
MEM 125.648438 1604495945.9730
MEM 127.421875 1604495946.0742
MEM 132.207031 1604495946.1751
MEM 137.449219 1604495946.2757
MEM 140.777344 1604495946.3764
MEM 135.691406 1604495946.4772
MEM 136.375000 1604495946.5775
MEM 139.046875 1604495946.6777
MEM 139.265625 1604495946.7784
MEM 139.531250 1604495946.8791
MEM 139.898438 1604495946.9798
MEM 140.160156 1604495947.0805
MEM 140.296875 1604495947.1813
MEM 140.582031 1604495947.2820
MEM 140.832031 1604495947.3827
MEM 141.035156 1604495947.4835
MEM 141.347656 1604495947.5842
MEM 141.511719 1604495947.6848
MEM 141.832031 1604495947.7857
MEM 142.101562 1604495947.8864
MEM 142.226562 1604495947.9871
MEM 146.171875 1604495948.0879
MEM 139.609375 1604495948.1886
MEM 141.589844 1604495948.2894
MEM 141.589844 1604495948.3900
MEM 141.589844 1604495948.4903
MEM 141.851562 1604495948.5906
MEM 141.882812 1604495948.6912
MEM 141.925781 1604495948.7920
MEM 141.945312 1604495948.8927
MEM 142.082031 1604495948.9934
MEM 142.332031 1604495949.0937
MEM 142.437500 1604495949.1939
MEM 142.718750 1604495949.2946
MEM 142.847656 1604495949.3954
MEM 143.035156 1604495949.4955
MEM 143.285156 1604495949.5958
MEM 143.476562 1604495949.6966
MEM 143.589844 1604495949.7973
MEM 143.785156 1604495949.8980
MEM 144.175781 1604495949.9987
MEM 144.300781 1604495950.0993
MEM 148.195312 1604495950.1995
MEM 141.468750 1604495950.2999
MEM 143.421875 1604495950.4007
MEM 143.421875 1604495950.5010
MEM 139.011719 1604495950.6011
MEM 142.632812 1604495950.7019
MEM 142.671875 1604495950.8026
MEM 142.800781 1604495950.9033
MEM 142.921875 1604495951.0041
MEM 142.988281 1604495951.1048
MEM 143.238281 1604495951.2055
MEM 143.523438 1604495951.3063
MEM 143.710938 1604495951.4070
MEM 144.023438 1604495951.5077
MEM 144.218750 1604495951.6084
MEM 144.476562 1604495951.7092
MEM 144.730469 1604495951.8092
MEM 144.792969 1604495951.9097
MEM 145.050781 1604495952.0104
MEM 145.054688 1604495952.1111
MEM 145.433594 1604495952.2116
MEM 147.898438 1604495952.3124
MEM 142.464844 1604495952.4134
MEM 144.433594 1604495952.5140
MEM 144.433594 1604495952.6148
MEM 144.433594 1604495952.7153
MEM 144.710938 1604495952.8158
MEM 144.722656 1604495952.9169
MEM 144.730469 1604495953.0177
MEM 144.882812 1604495953.1184
MEM 144.882812 1604495953.2191
MEM 144.976562 1604495953.3199
MEM 145.109375 1604495953.4206
MEM 145.425781 1604495953.5213
MEM 145.613281 1604495953.6221
MEM 145.800781 1604495953.7228
MEM 145.925781 1604495953.8235
MEM 146.433594 1604495953.9243
MEM 146.441406 1604495954.0250
MEM 146.765625 1604495954.1257
MEM 147.019531 1604495954.2264
MEM 148.578125 1604495954.3270
MEM 151.078125 1604495954.4277
MEM 145.605469 1604495954.5287
MEM 147.527344 1604495954.6289
MEM 147.527344 1604495954.7291
MEM 147.710938 1604495954.8297
MEM 149.261719 1604495954.9306
MEM 149.269531 1604495955.0314
MEM 149.425781 1604495955.1320
MEM 149.425781 1604495955.2324
MEM 149.425781 1604495955.3325
MEM 149.425781 1604495955.4332
MEM 149.425781 1604495955.5339
MEM 149.425781 1604495955.6347
MEM 149.457031 1604495955.7354
MEM 149.457031 1604495955.8361
MEM 149.457031 1604495955.9369
MEM 149.519531 1604495956.0376
MEM 149.769531 1604495956.1383
MEM 150.093750 1604495956.2391
MEM 150.093750 1604495956.3398
MEM 150.093750 1604495956.4405
MEM 150.101562 1604495956.5408
MEM 151.234375 1604495956.6410
MEM 152.351562 1604495956.7417
MEM 147.109375 1604495956.8425
MEM 149.078125 1604495956.9432
MEM 149.078125 1604495957.0439
MEM 147.500000 1604495957.1442
MEM 148.457031 1604495957.2444
MEM 148.472656 1604495957.3451
MEM 148.503906 1604495957.4458
MEM 148.562500 1604495957.5466
MEM 148.601562 1604495957.6473
MEM 148.695312 1604495957.7480
