CMDLINE c:\users\douglas.silva\anaconda3\python.exe .\testMemory-SVR.py
MEM 0.078125 1605466632.7617
MEM 13.074219 1605466632.8635
MEM 24.472656 1605466632.9724
MEM 31.726562 1605466633.0817
MEM 39.007812 1605466633.1947
MEM 50.222656 1605466633.3025
MEM 56.398438 1605466633.4119
MEM 56.398438 1605466633.5236
MEM 59.355469 1605466633.6320
MEM 68.230469 1605466633.7418
MEM 78.078125 1605466633.8551
MEM 83.492188 1605466633.9639
MEM 90.402344 1605466634.0738
MEM 102.324219 1605466634.1826
MEM 109.593750 1605466634.2927
MEM 115.203125 1605466634.4022
MEM 120.625000 1605466634.5107
MEM 125.316406 1605466634.6188
MEM 125.812500 1605466634.7279
MEM 130.609375 1605466634.8386
MEM 137.601562 1605466634.9451
MEM 137.628906 1605466635.0521
MEM 143.187500 1605466635.1522
MEM 149.597656 1605466635.2685
MEM 154.851562 1605466635.3686
MEM 158.996094 1605466635.4689
MEM 160.281250 1605466635.5700
MEM 140.105469 1605466635.6849
MEM 140.105469 1605466635.7860
MEM 140.105469 1605466635.8930
MEM 140.105469 1605466635.9980
MEM 140.105469 1605466636.0988
MEM 140.105469 1605466636.2012
MEM 140.105469 1605466636.3098
MEM 140.105469 1605466636.4183
MEM 140.351562 1605466636.5184
MEM 146.949219 1605466636.6336
MEM 153.191406 1605466636.7454
MEM 158.339844 1605466636.8548
MEM 160.062500 1605466636.9653
MEM 140.468750 1605466637.0758
MEM 140.468750 1605466637.1852
MEM 140.468750 1605466637.2883
MEM 140.468750 1605466637.3889
MEM 140.468750 1605466637.4965
MEM 140.468750 1605466637.6009
MEM 140.468750 1605466637.7010
MEM 140.468750 1605466637.8027
MEM 141.855469 1605466637.9184
MEM 146.035156 1605466638.0193
MEM 152.675781 1605466638.1311
MEM 158.367188 1605466638.2446
MEM 161.058594 1605466638.3562
MEM 140.125000 1605466638.4657
MEM 140.125000 1605466638.5779
MEM 140.125000 1605466638.6917
MEM 140.125000 1605466638.8018
MEM 140.125000 1605466638.9182
MEM 140.125000 1605466639.0238
MEM 140.125000 1605466639.1392
MEM 142.042969 1605466639.2515
MEM 146.386719 1605466639.3659
MEM 153.031250 1605466639.4785
MEM 158.898438 1605466639.5880
MEM 161.433594 1605466639.7017
MEM 140.597656 1605466639.8023
MEM 140.597656 1605466639.9141
MEM 140.597656 1605466640.0246
MEM 140.597656 1605466640.1376
MEM 140.597656 1605466640.2494
MEM 140.597656 1605466640.3520
MEM 140.597656 1605466640.4550
MEM 138.359375 1605466640.5685
MEM 144.402344 1605466640.6811
MEM 151.046875 1605466640.7955
MEM 156.832031 1605466640.9073
MEM 160.191406 1605466641.0232
MEM 160.535156 1605466641.1350
MEM 139.992188 1605466641.2439
MEM 139.992188 1605466641.3485
MEM 139.992188 1605466641.4595
MEM 139.992188 1605466641.5730
MEM 139.992188 1605466641.6740
MEM 139.992188 1605466641.7742
MEM 139.992188 1605466641.8801
MEM 141.941406 1605466641.9939
MEM 147.371094 1605466642.1105
MEM 153.804688 1605466642.2211
MEM 159.035156 1605466642.3319
MEM 161.015625 1605466642.4443
MEM 140.925781 1605466642.5574
MEM 140.925781 1605466642.6691
MEM 140.925781 1605466642.7771
MEM 140.925781 1605466642.8835
MEM 140.925781 1605466642.9952
MEM 140.925781 1605466643.1067
MEM 140.929688 1605466643.2207
MEM 142.355469 1605466643.3288
MEM 146.156250 1605466643.4443
MEM 152.316406 1605466643.5600
MEM 156.796875 1605466643.6602
MEM 159.855469 1605466643.7605
MEM 160.812500 1605466643.8683
MEM 142.527344 1605466643.9839
MEM 142.527344 1605466644.0854
MEM 142.527344 1605466644.1971
MEM 142.527344 1605466644.2986
MEM 142.527344 1605466644.4091
MEM 142.527344 1605466644.5223
MEM 142.527344 1605466644.6336
MEM 140.292969 1605466644.7341
MEM 146.000000 1605466644.8457
MEM 152.734375 1605466644.9577
MEM 158.078125 1605466645.0671
MEM 160.382812 1605466645.1800
MEM 160.562500 1605466645.2920
MEM 142.886719 1605466645.4052
MEM 142.886719 1605466645.5157
MEM 142.886719 1605466645.6276
MEM 142.886719 1605466645.7310
MEM 142.886719 1605466645.8404
MEM 142.886719 1605466645.9554
MEM 140.359375 1605466646.0843
MEM 145.617188 1605466646.1984
MEM 151.871094 1605466646.3100
MEM 157.472656 1605466646.4207
MEM 159.800781 1605466646.5312
MEM 142.753906 1605466646.6433
MEM 142.761719 1605466646.7574
MEM 142.769531 1605466646.8681
MEM 142.777344 1605466646.9798
MEM 142.777344 1605466647.0932
MEM 142.777344 1605466647.2060
MEM 142.777344 1605466647.3213
MEM 145.117188 1605466647.4344
MEM 151.308594 1605466647.5569
MEM 136.140625 1605466647.6646
