0,1,2
48.39,36.3,36.09
20.24,88.86,18.22
57.61,70.28,22.19
21.25,71.45,46.15
47.44,106.48,66.51
29.17,88.86,22.63
37.86,83.98,12.77
28.28,36.3,38.4
18.79,88.86,52.0
44.01,81.43,47.21
18.3,71.45,74.82
28.68,36.3,45.08
17.24,83.9,35.24
50.81,71.45,18.06
23.66,70.28,9.43
87.42,104.61,49.11
37.56,83.98,31.34
78.54,80.89,33.61
12.47,71.45,25.7
36.24,36.3,94.63
49.74,36.3,19.77
37.76,83.9,40.91
22.33,83.9,53.39
40.23,81.43,36.25
98.93,70.28,30.25
44.85,83.9,55.25
60.52,71.45,37.17
65.95,36.3,27.32
44.78,70.28,60.72
32.11,89.98,56.94
66.69,70.28,48.62
45.46,48.04,33.66
26.42,88.86,29.82
33.88,83.9,37.71
21.42,83.9,38.65
37.3,88.86,16.91
71.9,88.86,38.72
25.84,70.28,35.6
38.67,114.73,28.79
68.04,111.23,49.16
32.98,36.3,32.58
64.1,81.43,36.14
52.54,88.86,30.7
53.39,71.45,50.38
38.44,83.9,28.2
75.51,71.45,34.07
29.64,70.28,46.28
24.05,86.02,50.64
51.96,114.73,33.19
61.97,83.9,38.59
30.47,106.48,54.82
62.29,86.6,52.22
17.69,48.04,19.33
33.46,86.02,31.72
54.58,71.45,57.78
50.16,85.7,17.16
18.79,36.3,34.91
23.88,86.6,44.26
72.76,70.28,50.04
55.09,48.04,22.78
26.65,86.6,49.42
25.99,86.6,40.32
45.5,71.45,47.95
52.17,86.6,18.51
26.34,36.3,19.25
19.13,114.73,43.99
25.04,48.04,19.51
36.09,36.3,23.57
59.1,70.28,37.03
15.07,122.0,33.49
44.49,70.28,21.45
42.13,86.6,33.6
27.79,83.9,42.58
25.57,106.48,53.55
26.18,81.43,72.16
50.61,89.98,35.48
16.7,83.98,46.03
49.38,106.48,15.29
84.87,70.28,32.18
43.65,83.9,17.39
33.61,81.43,39.02
33.29,106.48,71.87
51.37,86.02,34.63
37.12,86.02,45.07
69.03,83.9,21.83
44.4,89.98,10.35
21.86,70.28,31.2
78.43,48.04,15.09
41.09,86.02,29.08
15.86,83.9,40.92
32.52,83.9,41.69
46.88,86.6,31.37
17.05,114.73,44.11
57.27,71.45,38.09
39.67,36.3,46.86
15.12,70.28,39.86
56.47,83.98,57.68
32.86,48.04,54.17
44.92,106.48,39.34
80.34,48.04,35.56
31.73,114.73,23.33
28.48,83.9,26.22
44.61,89.98,26.41
18.11,106.48,23.39
10.62,86.6,18.74
23.76,83.9,44.23
44.19,71.45,44.57
33.72,36.3,29.37
61.71,70.28,39.15
11.81,36.3,64.41
69.06,88.86,28.88
40.5,71.45,66.1
14.78,71.45,42.65
28.85,86.6,10.74
28.24,86.6,73.4
31.15,86.6,54.18
52.91,36.3,18.71
29.61,83.9,50.86
83.0,48.04,34.83
34.33,71.45,27.84
30.21,71.45,40.55
24.49,71.45,16.31
49.39,71.45,18.64
26.1,71.45,25.2
29.44,70.28,24.55
15.44,106.48,37.65
28.0,70.28,41.62
90.73,83.98,39.04
48.27,86.6,48.58
47.15,71.45,51.81
23.99,86.6,30.81
78.19,71.45,60.02
20.82,81.43,24.26
37.16,48.04,34.81
43.86,48.04,31.18
21.65,81.43,57.9
49.15,114.73,50.92
31.31,70.28,38.96
20.56,71.45,18.52
49.2,70.28,48.74
31.0,86.6,47.77
22.55,48.04,23.57
51.66,81.43,29.64
22.56,86.6,43.11
32.46,114.73,32.07
62.72,71.45,26.9
36.17,86.6,50.73
38.8,81.43,71.03
33.51,71.45,40.38
33.48,81.43,34.3
24.13,71.45,13.01
24.25,81.43,52.97
75.85,106.48,28.12
51.99,83.98,22.41
63.06,70.28,49.4
17.92,83.9,31.57
26.3,83.9,39.24
38.36,83.9,15.73
27.5,71.45,44.79
35.58,86.6,28.33
21.87,81.43,49.99
69.47,81.43,53.75
50.6,71.45,55.79
39.86,86.6,27.05
21.64,71.45,15.87
51.12,70.28,47.03
34.37,111.71,26.54
37.04,71.45,42.9
24.67,36.3,30.62
23.8,70.28,24.46
57.98,48.04,75.62
27.19,48.04,29.14
39.61,70.28,48.94
47.36,81.43,25.13
44.55,86.6,56.5
40.67,36.3,25.99
42.61,114.73,18.15
65.24,86.6,30.55
41.22,83.9,52.23
17.25,70.28,30.61
8.02,81.43,26.03
37.15,71.45,62.86
16.12,81.43,28.73
27.82,88.86,40.83
50.81,88.86,28.31
19.67,83.9,14.48
63.0,70.28,33.24
63.94,81.43,38.14
12.67,83.9,29.11
45.75,85.7,29.33
22.88,114.73,23.45
20.39,71.45,30.46
63.14,36.3,7.93
29.03,83.9,29.72
23.36,81.43,44.3
65.7,81.43,43.33
29.65,70.28,41.86
28.45,71.45,66.51
34.51,83.9,44.26
52.74,86.6,32.74
52.21,48.04,71.45
48.62,36.3,71.45
31.32,81.43,86.6
41.79,71.45,48.04
18.27,71.45,81.43
60.29,48.04,81.43
50.61,111.71,71.45
28.72,88.86,88.86
53.14,48.04,36.3
21.65,36.3,106.48
17.72,71.45,83.9
33.02,48.04,86.6
18.73,71.45,70.28
19.82,48.04,48.04
11.06,48.04,36.3
41.32,83.9,71.45
38.54,70.28,48.04
71.09,36.3,48.04
69.59,71.45,71.45
40.87,83.9,86.6
39.54,36.3,71.45
40.27,81.43,48.04
31.98,83.9,70.28
29.93,86.6,106.48
33.37,48.04,81.43
46.68,88.86,106.48
30.05,83.9,86.6
29.36,71.45,81.43
17.59,86.6,83.98
37.36,81.43,86.6
36.33,36.3,48.04
54.75,81.43,106.48
15.01,114.73,106.48
27.24,71.45,81.43
21.97,48.04,83.9
17.3,83.9,86.6
13.21,70.28,71.45
24.97,70.28,71.45
21.94,114.73,89.98
44.16,88.86,70.28
19.63,70.28,81.43
32.57,48.04,70.28
35.0,48.04,48.04
40.14,81.43,83.9
31.56,36.3,106.48
40.54,83.98,86.6
43.42,71.45,106.48
40.62,48.04,48.04
57.64,42.28,48.04
24.09,93.95,83.98
55.01,114.73,86.6
43.34,83.98,36.3
37.88,83.9,70.28
24.49,83.9,89.98
54.3,83.9,106.48
41.78,70.28,86.6
39.14,83.98,81.43
53.53,83.9,83.9
74.58,48.04,48.04
45.28,81.43,86.6
36.34,81.43,70.28
30.88,36.3,106.48
18.37,86.6,48.04
25.39,70.28,106.48
36.3,86.6,83.9
26.29,106.48,83.9
32.96,89.98,86.6
45.7,92.02,48.04
36.97,83.9,81.43
30.34,70.28,106.48
32.79,48.04,81.43
19.48,83.9,48.04
38.34,48.04,106.48
20.27,86.6,71.45
37.4,36.3,81.43
71.57,70.28,36.3
24.75,83.9,48.04
31.25,48.04,81.43
44.73,70.28,83.9
25.62,36.3,48.04
49.81,86.6,86.6
63.84,83.9,106.48
77.35,114.73,70.28
23.33,70.28,71.45
20.16,106.48,106.48
48.12,71.45,36.3
61.51,114.73,106.48
68.33,83.9,81.43
30.55,88.86,86.6
46.87,81.43,36.3
36.67,86.6,81.43
43.18,71.45,48.04
28.79,83.98,36.3
49.56,70.28,81.43
78.61,81.43,106.48
22.72,88.86,83.9
27.12,71.45,36.3
64.3,86.02,71.45
42.18,71.45,86.6
41.48,83.9,48.04
21.55,89.98,88.86
37.98,81.43,71.45
23.38,106.48,106.48
44.92,83.9,83.9
21.79,83.9,88.86
61.65,86.6,83.9
55.25,83.9,70.28
44.11,118.16,70.28
16.6,81.43,70.28
73.16,106.48,48.04
17.09,88.86,71.45
62.93,106.48,89.98
17.62,86.6,80.89
13.12,81.43,48.04
23.8,71.45,83.9
28.66,36.3,81.43
35.25,36.3,81.43
40.44,81.43,73.39
34.78,83.9,81.43
43.69,83.9,71.45
39.81,114.73,48.04
19.25,86.6,85.7
59.88,86.6,106.48
28.68,86.6,86.6
48.0,36.3,36.3
33.15,70.28,48.04
73.69,88.86,71.45
54.14,88.86,70.28
66.75,36.3,70.28
25.26,81.43,70.28
60.45,88.86,83.98
40.92,48.04,70.28
23.33,81.43,70.28
59.32,106.48,71.45
56.49,83.9,86.6
21.24,36.3,81.43
36.94,114.73,71.45
30.88,70.28,83.98
47.31,71.45,71.45
24.98,71.45,70.28
56.16,89.98,83.98
33.38,106.48,36.3
54.48,48.04,71.45
28.12,71.45,81.43
39.42,106.48,86.6
47.63,86.6,36.3
31.43,48.04,71.45
29.13,36.3,70.28
45.21,36.3,71.45
31.85,48.04,36.3
31.2,70.28,86.6
44.54,36.3,83.9
22.84,48.04,89.98
52.93,83.98,85.7
41.64,83.9,83.9
39.67,81.43,83.9
24.43,70.28,88.86
16.78,70.28,36.3
44.55,88.86,70.28
17.87,88.86,114.73
36.0,114.73,36.3
31.23,81.43,114.73
41.82,71.45,83.9
51.96,48.04,71.45
35.66,81.43,83.9
36.12,36.3,81.43
38.14,86.6,86.6
14.09,86.6,88.86
28.38,71.45,86.6
27.52,122.0,70.28
23.37,48.04,81.43
29.57,106.48,106.48
52.06,86.6,83.9
68.48,89.98,88.86
51.87,86.6,71.45
50.79,124.54,106.48
34.54,83.9,88.86
41.02,106.48,83.9
40.95,48.04,86.6
15.84,80.89,88.86
47.03,86.6,86.6
14.35,83.9,88.86
38.93,88.86,36.3
31.52,106.48,81.43
28.61,81.43,36.3
32.47,36.3,81.43
47.98,71.45,86.6
16.23,48.04,106.48
27.86,36.3,106.48
51.97,83.98,81.43
45.44,89.98,36.3
43.99,86.6,36.3
51.95,88.86,70.28
9.55,106.48,71.45
36.22,83.98,70.28
35.74,70.28,70.28
12.45,70.28,88.86
34.79,36.3,70.28
33.81,48.04,48.04
63.44,114.73,83.9
