0,1,2
41.61,88.03,21.59
26.98,50.32,27.78
32.92,96.72,49.56
25.46,61.79,45.17
53.58,96.85,51.71
27.35,50.32,8.26
27.15,74.88,24.08
29.26,88.03,14.41
13.1,50.32,25.93
47.57,71.78,48.4
26.4,61.79,39.89
12.01,88.03,55.52
30.75,85.16,21.85
28.24,61.79,30.61
48.56,104.53,19.59
39.46,84.77,27.35
71.8,74.88,37.11
43.52,101.93,40.77
38.32,61.79,47.9
42.91,88.03,35.67
37.2,88.03,35.9
25.59,85.16,20.57
45.26,85.16,41.09
31.21,71.78,12.85
26.85,96.72,20.5
33.74,85.16,44.64
46.31,61.79,32.56
38.57,88.03,37.67
20.19,96.72,38.06
25.53,74.88,27.14
40.79,96.72,41.83
45.5,104.02,20.86
50.97,50.32,34.58
16.97,85.16,38.47
47.01,85.16,27.75
26.38,50.32,31.2
32.55,50.32,12.56
10.54,96.72,37.74
36.32,104.99,32.76
55.41,91.21,19.5
12.76,88.03,24.13
26.01,71.78,55.51
36.59,74.88,32.19
41.68,61.79,27.1
23.85,85.16,33.0
25.92,61.79,17.91
35.29,96.72,34.98
60.34,74.88,48.08
47.6,96.85,52.59
24.62,85.16,35.58
22.87,96.85,22.62
21.56,126.83,33.45
49.16,104.02,27.88
19.81,74.88,55.31
33.26,61.79,10.2
21.84,50.32,33.71
48.94,88.03,17.94
45.16,126.83,48.53
32.4,104.89,48.69
16.02,104.02,60.9
20.23,126.83,23.33
38.82,126.83,54.95
25.22,61.79,32.17
21.98,126.83,12.25
19.07,88.03,19.31
20.28,96.85,45.35
41.49,104.02,34.6
32.22,88.03,34.07
28.96,96.72,34.69
40.71,84.77,33.85
12.86,96.72,17.57
54.54,126.83,25.03
45.09,90.25,19.86
33.18,96.85,23.06
28.56,71.78,23.7
26.89,74.88,75.12
18.33,74.88,52.58
27.11,96.85,20.17
19.59,96.72,53.65
33.5,85.16,63.87
28.14,71.78,45.61
14.8,96.85,30.43
39.76,74.88,40.22
25.45,74.88,71.52
18.35,85.16,34.12
34.86,74.88,56.05
26.23,96.72,10.57
42.63,104.02,16.94
38.66,74.88,16.88
40.83,85.16,25.54
21.88,85.16,13.48
35.31,126.83,43.95
37.6,104.99,46.61
24.18,61.79,63.62
21.42,88.03,28.69
23.42,108.33,44.49
16.46,74.88,37.35
41.92,104.02,38.37
51.16,96.85,24.87
23.42,104.02,20.69
16.98,104.99,54.24
22.12,85.16,47.24
31.19,74.88,70.41
39.1,96.85,52.83
51.13,126.83,49.99
65.52,85.16,28.16
27.93,61.79,43.96
41.59,88.03,39.26
45.02,106.97,17.75
38.86,88.03,38.75
54.68,50.32,40.36
24.94,61.79,28.06
17.95,61.79,20.88
20.03,126.83,44.64
36.42,126.83,62.29
27.16,126.83,37.78
19.74,88.03,40.1
45.12,85.16,55.97
13.42,104.02,69.95
34.75,61.79,63.22
45.13,61.79,55.54
13.39,61.79,21.58
47.04,61.79,25.62
44.56,61.79,60.87
44.03,96.72,10.37
15.56,96.85,24.11
29.79,96.72,15.59
33.62,74.88,24.6
45.11,126.83,27.74
18.53,61.79,39.1
18.94,126.83,16.91
34.99,61.79,32.92
20.98,71.78,19.17
19.6,104.02,27.34
22.09,104.02,8.15
51.69,71.78,24.48
34.69,96.85,38.3
46.77,96.72,50.8
9.86,61.79,40.86
35.72,96.72,54.06
44.58,126.83,21.49
49.34,104.02,21.99
58.93,71.78,51.4
28.26,126.83,23.56
33.01,96.85,11.29
34.43,61.79,12.01
47.17,126.83,47.52
11.57,71.78,15.89
16.21,61.79,21.51
21.48,71.78,54.33
48.39,61.79,10.58
51.03,71.78,17.15
43.29,96.85,38.32
37.76,74.88,33.83
29.09,96.72,26.47
27.7,85.16,30.71
46.79,90.25,18.06
26.43,85.16,34.42
33.91,61.79,47.71
33.18,126.83,42.06
24.56,42.04,40.65
37.54,71.78,30.79
25.19,61.79,26.3
35.03,126.83,14.03
33.39,61.79,41.22
40.49,96.72,33.1
40.24,88.7,41.13
42.12,61.79,20.43
46.62,88.03,33.97
11.11,96.72,21.45
18.37,104.02,17.13
32.07,104.02,31.08
17.15,96.72,88.15
24.21,71.78,23.93
17.85,126.83,27.14
12.2,88.03,32.47
67.8,104.99,53.47
31.32,126.83,22.41
23.34,85.16,25.75
59.29,96.72,37.11
26.66,71.78,34.93
29.03,61.79,39.29
57.39,71.78,39.79
12.58,50.32,10.67
36.16,50.32,18.31
41.38,85.16,18.2
18.95,96.72,23.75
59.51,71.78,24.02
31.51,85.16,31.1
9.2,74.88,37.34
35.15,104.99,45.69
30.48,61.79,21.1
7.38,88.03,46.94
19.98,90.25,36.02
27.45,71.78,11.99
32.76,71.78,53.86
32.47,96.72,20.65
36.26,61.79,25.08
29.5,90.25,64.2
38.29,126.83,62.38
14.47,104.02,96.72
21.26,88.03,96.72
22.14,71.78,61.79
47.17,61.79,104.02
33.63,61.79,71.78
17.09,104.02,104.02
25.91,88.7,104.02
39.19,50.32,104.99
29.8,104.02,71.78
39.61,88.03,96.72
36.29,61.79,104.02
62.4,104.02,88.03
16.14,61.79,74.88
12.59,104.02,61.79
8.3,104.02,104.02
